OTUID	M	B	X	H	T	Y	J	D
OTU417	0	0	1	1	0	0	0	1
OTU418	21	21	24	24	32	30	32	20
OTU419	0	0	0	0	0	0	0	0
OTU420	13	30	9	24	8	20	34	38
OTU421	19	13	9	14	23	23	13	19
OTU422	0	0	2	2	0	0	0	1
OTU423	2	10	2	6	2	8	8	9
OTU424	2	1	4	1	1	0	2	1
OTU425	4	1	0	0	1	2	0	0
OTU426	0	0	2	1	1	1	0	0
OTU427	0	4	5	0	0	1	1	1
OTU428	0	3	1	4	0	2	0	0
OTU429	1	2	4	3	0	0	1	1
OTU430	102	73	62	110	112	81	83	75
OTU431	2	0	1	1	0	0	1	0
OTU432	1	1	1	0	0	1	0	1
OTU433	0	1	0	0	0	0	0	0
OTU434	0	0	0	0	0	0	11	0
OTU435	1	0	0	1	0	0	0	0
OTU436	0	1	1	0	0	1	0	4
OTU437	11	9	9	6	6	7	9	9
OTU438	0	3	0	4	1	1	0	3
OTU439	1	1	0	0	0	0	0	0
OTU440	9	9	5	8	6	4	5	9
OTU441	5	2	5	3	2	1	3	4
OTU442	0	0	1	1	0	1	0	0
OTU443	4	5	4	6	3	3	3	8
OTU444	0	0	0	0	0	1	1	0
OTU445	1	2	1	0	2	0	0	0
OTU446	2	0	0	0	1	0	0	2
OTU447	4	5	1	3	3	5	4	8
OTU448	3	1	2	4	2	0	0	3
OTU449	6	2	4	3	7	6	7	6
OTU450	0	4	1	3	0	1	3	0
OTU451	6	2	5	6	3	5	4	4
OTU452	7	7	13	8	11	8	9	9
OTU453	7	9	11	8	7	2	10	8
OTU454	4	11	0	7	0	3	4	1
OTU455	8	4	3	7	3	3	6	8
OTU456	2	2	0	1	0	2	1	3
OTU457	1	0	0	2	3	0	1	1
OTU458	0	1	1	6	2	2	2	0
OTU459	0	0	0	1	0	1	1	1
OTU460	0	3	0	0	0	0	0	1
OTU461	5	1	5	3	11	2	5	6
OTU462	2	1	2	5	4	4	6	1
OTU463	1	6	6	2	5	2	7	3
OTU464	0	0	0	0	0	0	0	0
OTU465	1	1	0	1	0	0	1	0
OTU466	111	155	112	130	203	180	171	146
OTU467	1	1	2	5	2	5	1	2
OTU468	175	226	113	218	181	193	216	377
OTU469	5	7	3	5	9	8	8	4
